ENSEMBL ID,HGNC Symbol,Gene Biotype,Description,log2(FC) DUP vs DEL,"P value, DUP vs DEL","FDR-adjusted P value, DUP vs DEL",log2(FC) DUP vs CTL,"P value, DUP vs CTL","FDR-adjusted P value, DUP vs CTL",log2(FC) DEL vs CTL,"P value, DEL vs CTL","FDR-adjusted P value, DEL vs CTL"
ENSG00000163913,IFT122,protein_coding,intraflagellar transport 122 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:13556],-0.413380153,0.002267648,0.084650566,-0.543387612,9.29E-06,0.005059184,-0.130007459,0.161418712,0.877023214
ENSG00000208892,SNORA49,snoRNA,"small nucleolar RNA, H/ACA box 49 [Source:HGNC Symbol;Acc:32642]",-0.822040457,0.002325224,0.086562038,-0.618650757,0.004580171,0.12727067,0.2033897,0.266886077,0.915621622
ENSG00000166881,TMEM194A,protein_coding,transmembrane protein 194A [Source:HGNC Symbol;Acc:29001],0.422099918,0.002337353,0.086775834,0.349946231,0.002042957,0.087609621,-0.072153687,0.441946108,0.949989794
ENSG00000177302,TOP3A,protein_coding,topoisomerase (DNA) III alpha [Source:HGNC Symbol;Acc:11992],0.411174774,0.00237335,0.087642296,0.436550466,0.000182908,0.026439898,0.025375692,0.778501109,0.988363733
ENSG00000104731,KLHDC4,protein_coding,kelch domain containing 4 [Source:HGNC Symbol;Acc:25272],0.823157296,0.002373592,0.087642296,0.931101404,9.98E-05,0.019951924,0.107944108,0.544064958,0.96818497
ENSG00000085978,ATG16L1,protein_coding,autophagy related 16-like 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:21498],0.460698616,0.002382908,0.087747829,0.348102592,0.00505245,0.134495241,-0.112596024,0.265052818,0.915621622
ENSG00000152977,ZIC1,protein_coding,Zic family member 1 [Source:HGNC Symbol;Acc:12872],-0.827999742,0.002414501,0.088670914,-0.723401513,0.001473067,0.07709927,0.10459823,0.564192594,0.968973938
ENSG00000107521,HPS1,protein_coding,Hermansky-Pudlak syndrome 1 [Source:HGNC Symbol;Acc:5163],0.644085599,0.002461897,0.089696373,0.168905317,0.278646725,0.696386186,-0.475180283,0.003248259,0.358051787
ENSG00000114654,EFCC1,protein_coding,EF-hand and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:25692],-1.95180773,0.002465881,0.089696373,-1.287764273,0.02202826,0.273816119,0.664043457,0.072392199,0.796478379
ENSG00000164091,WDR82,protein_coding,WD repeat domain 82 [Source:HGNC Symbol;Acc:28826],-0.211330082,0.002466135,0.089696373,-0.180337654,0.001875169,0.085989195,0.030992428,0.504277313,0.96522329
ENSG00000176641,RNF152,protein_coding,ring finger protein 152 [Source:HGNC Symbol;Acc:26811],-0.817144848,0.002474803,0.089696373,-0.687464319,0.002922395,0.105610365,0.129680529,0.444658768,0.951312417
ENSG00000148175,STOM,protein_coding,stomatin [Source:HGNC Symbol;Acc:3383],0.977589252,0.002480852,0.089696373,0.548510311,0.035328638,0.326966601,-0.429078941,0.046298062,0.767448395
ENSG00000111186,WNT5B,protein_coding,"wingless-type MMTV integration site family, member 5B [Source:HGNC Symbol;Acc:16265]",1.313493548,0.002493953,0.089696373,0.758112084,0.028417072,0.301458259,-0.555381464,0.060131653,0.794802813
ENSG00000137871,ZNF280D,protein_coding,zinc finger protein 280D [Source:HGNC Symbol;Acc:25953],1.296827829,0.002499453,0.089696373,1.35302792,0.000279319,0.034262961,0.056200091,0.841345826,0.992461309
ENSG00000142327,RNPEPL1,protein_coding,arginyl aminopeptidase (aminopeptidase B)-like 1 [Source:HGNC Symbol;Acc:10079],0.667107734,0.002501158,0.089696373,0.277316872,0.10659416,0.505726761,-0.389790862,0.011673233,0.556463036
ENSG00000198558,HIST1H4L,protein_coding,"histone cluster 1, H4l [Source:HGNC Symbol;Acc:4791]",1.291414581,0.002501834,0.089696373,1.085623965,0.001639332,0.082500909,-0.205790616,0.486728997,0.961200633
ENSG00000198755,RPL10A,protein_coding,ribosomal protein L10a [Source:HGNC Symbol;Acc:10299],-0.397612441,0.002524027,0.090253891,-0.432844138,0.000155842,0.023632425,-0.035231697,0.687050595,0.984582953
ENSG00000130513,GDF15,protein_coding,growth differentiation factor 15 [Source:HGNC Symbol;Acc:30142],1.955565947,0.002538443,0.090531124,0.2620858,0.577913132,0.874463657,-1.693480147,0.000796934,0.156938307
ENSG00000104980,TIMM44,protein_coding,translocase of inner mitochondrial membrane 44 homolog (yeast) [Source:HGNC Symbol;Acc:17316],0.301562291,0.002557978,0.090989018,0.130962476,0.091749248,0.479864813,-0.170599815,0.015158251,0.588155111
ENSG00000129925,TMEM8A,protein_coding,transmembrane protein 8A [Source:HGNC Symbol;Acc:17205],0.313554807,0.002569347,0.0911548,0.001255205,0.987147269,0.995857278,-0.312299602,0.000113119,0.044715233
ENSG00000135503,ACVR1B,protein_coding,"activin A receptor, type IB [Source:HGNC Symbol;Acc:172]",-0.424213078,0.002586363,0.091487802,-0.516306629,4.73E-05,0.015294917,-0.092093551,0.319989576,0.917484946
ENSG00000158292,GPR153,protein_coding,G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:23618],-1.047385883,0.002595628,0.091487802,-0.94381785,0.002051995,0.087609621,0.103568033,0.620856711,0.976834454
ENSG00000134202,GSTM3,protein_coding,glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:4635],-0.49639975,0.00260468,0.091487802,-0.339043663,0.012332369,0.215965941,0.157356086,0.145271453,0.868513916
ENSG00000228049,POLR2J2,protein_coding,DNA-directed RNA polymerase II subunit RPB11-b1  [Source:RefSeq peptide;Acc:NP_116581],-1.756941906,0.002605665,0.091487802,-0.871924122,0.070549095,0.435475855,0.885017784,0.017493547,0.601128049
ENSG00000142002,DPP9,protein_coding,dipeptidyl-peptidase 9 [Source:HGNC Symbol;Acc:18648],0.44272063,0.002647034,0.092700751,0.218164185,0.051506238,0.385814091,-0.224556445,0.034395117,0.711873145
ENSG00000108551,RASD1,protein_coding,"RAS, dexamethasone-induced 1 [Source:HGNC Symbol;Acc:15828]",1.398262895,0.002658133,0.092850144,0.762611266,0.030446983,0.309434262,-0.63565163,0.059595341,0.794720921
ENSG00000048740,CELF2,protein_coding,"CUGBP, Elav-like family member 2 [Source:HGNC Symbol;Acc:2550]",0.422082209,0.002692631,0.093723366,0.318470616,0.00584503,0.144256266,-0.103611593,0.267279251,0.915621622
ENSG00000185046,ANKS1B,protein_coding,ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:24600],-0.68707064,0.002696926,0.093723366,-0.646823377,0.001674756,0.083182972,0.040247263,0.762225666,0.986296634
ENSG00000175390,EIF3F,protein_coding,"eukaryotic translation initiation factor 3, subunit F [Source:HGNC Symbol;Acc:3275]",-0.288635464,0.002726622,0.094513607,-0.282789294,0.000555132,0.047741353,0.00584617,0.927167126,0.99744829
ENSG00000165566,AMER2,protein_coding,APC membrane recruitment protein 2 [Source:HGNC Symbol;Acc:26360],0.737277406,0.002757284,0.095333266,0.564869493,0.005148957,0.135980547,-0.172407913,0.29455144,0.916507195
ENSG00000215527,AP005482.1,protein_coding,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A8MVJ3],-1.926537112,0.002774481,0.095625574,-1.192964659,0.026899696,0.294057179,0.733572453,0.070147844,0.796478379
ENSG00000142765,SYTL1,protein_coding,synaptotagmin-like 1 [Source:HGNC Symbol;Acc:15584],1.250870926,0.002779813,0.095625574,0.750524062,0.012994476,0.220435631,-0.500346864,0.116014215,0.843581457
ENSG00000173171,MTX1,protein_coding,metaxin 1 [Source:HGNC Symbol;Acc:7504],0.436180266,0.002810107,0.096241945,0.283139631,0.012312531,0.215965941,-0.153040634,0.140414365,0.867978523
ENSG00000177508,IRX3,protein_coding,iroquois homeobox 3 [Source:HGNC Symbol;Acc:14360],-1.726925449,0.002811897,0.096241945,-1.501832847,0.004432273,0.126066976,0.225092603,0.46717558,0.957602448
ENSG00000201229,SNORA63,snoRNA,Small nucleolar RNA SNORA63 [Source:RFAM;Acc:RF00092],-1.697275172,0.002820566,0.09627347,-1.246538325,0.007038911,0.161835393,0.450736847,0.237899381,0.911492964
ENSG00000168672,FAM84B,protein_coding,"family with sequence similarity 84, member B [Source:HGNC Symbol;Acc:24166]",-0.969341691,0.002832731,0.09627347,-0.544692626,0.033015218,0.320106612,0.424649065,0.059207634,0.794720921
ENSG00000145743,FBXL17,protein_coding,F-box and leucine-rich repeat protein 17 [Source:HGNC Symbol;Acc:13615],-0.294938736,0.002846642,0.09627347,-0.19249155,0.018002218,0.251608123,0.102447186,0.111892406,0.83779712
ENSG00000198673,FAM19A2,protein_coding,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A2 [Source:HGNC Symbol;Acc:21589]",-0.89986976,0.002847609,0.09627347,-0.899362216,0.001278659,0.071206642,0.000507544,0.997543787,0.999388982
ENSG00000156697,UTP14A,protein_coding,"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast) [Source:HGNC Symbol;Acc:10665]",0.426664566,0.002848244,0.09627347,0.205313615,0.052516743,0.39058429,-0.22135095,0.037181184,0.724300115
ENSG00000225706,RP11-75C9.1,lincRNA,,-1.007264225,0.002858863,0.096392644,-0.981367951,0.000957729,0.062565507,0.025896274,0.901714096,0.997108109
ENSG00000070669,ASNS,protein_coding,asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:753],0.496302386,0.002894888,0.097365687,0.293103486,0.027820637,0.300259579,-0.2031989,0.072493646,0.796478379
ENSG00000111834,RSPH4A,protein_coding,radial spoke head 4 homolog A (Chlamydomonas) [Source:HGNC Symbol;Acc:21558],0.913391076,0.002906328,0.097509082,0.372400349,0.08204889,0.461873714,-0.540990727,0.024488415,0.664168836
ENSG00000145526,CDH18,protein_coding,"cadherin 18, type 2 [Source:HGNC Symbol;Acc:1757]",-0.879375976,0.002921356,0.097771875,-0.60479955,0.013460919,0.221821042,0.274576426,0.152016793,0.869207897
ENSG00000196409,ZNF658,protein_coding,zinc finger protein 658 [Source:HGNC Symbol;Acc:25226],-0.812915258,0.002958022,0.09875578,-0.084135757,0.689918126,0.918071642,0.728779501,0.000312801,0.081737437
ENSG00000183889,NPIPA7,protein_coding,Protein PKD1P1  [Source:UniProtKB/TrEMBL;Acc:H0YEP2],0.625549623,0.002970104,0.098916112,0.509033769,0.003563766,0.116404935,-0.116515854,0.403623135,0.939778226
ENSG00000223509,RP11-632K20.7,pseudogene,,0.91185844,0.002982138,0.099074076,0.729986664,0.003734012,0.118465381,-0.181871777,0.3790398,0.929084907
ENSG00000144959,NCEH1,protein_coding,neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:29260],-0.573014358,0.002994404,0.099196325,-0.620439899,0.000279893,0.034262961,-0.04742554,0.701867021,0.984582953
ENSG00000146674,IGFBP3,protein_coding,insulin-like growth factor binding protein 3 [Source:HGNC Symbol;Acc:5472],-1.842281091,0.003000419,0.099196325,-0.313686194,0.482004658,0.825794305,1.528594898,0.00169311,0.252812944
ENSG00000072121,ZFYVE26,protein_coding,"zinc finger, FYVE domain containing 26 [Source:HGNC Symbol;Acc:20761]",0.377715749,0.003020192,0.099607685,0.151576294,0.126348504,0.539398802,-0.226139455,0.011665936,0.556463036
ENSG00000118276,B4GALT6,protein_coding,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6 [Source:HGNC Symbol;Acc:929]",0.529940347,0.003042706,0.099711595,0.491530174,0.001234351,0.069884853,-0.038410173,0.742454301,0.985857861
ENSG00000099617,EFNA2,protein_coding,ephrin-A2 [Source:HGNC Symbol;Acc:3222],-0.724750295,0.003051669,0.099711595,-0.574273669,0.006101524,0.147785213,0.150476625,0.322755981,0.917484946
ENSG00000183098,GPC6,protein_coding,glypican 6 [Source:HGNC Symbol;Acc:4454],-0.803213519,0.003053152,0.099711595,0.005441502,0.978668815,0.994390324,0.808655021,0.000130169,0.045352199
ENSG00000225151,GOLGA2P7,pseudogene,golgin A2 pseudogene 7 [Source:HGNC Symbol;Acc:49516],0.487581353,0.00305546,0.099711595,0.148997918,0.239687648,0.662640034,-0.338583435,0.004232089,0.398466675
ENSG00000123104,ITPR2,protein_coding,"inositol 1,4,5-trisphosphate receptor, type 2 [Source:HGNC Symbol;Acc:6181]",-0.772524059,0.0030651,0.099711595,-0.632055952,0.003918903,0.1202065,0.140468107,0.407136847,0.940122091
ENSG00000234912,LINC00338,processed_transcript,long intergenic non-protein coding RNA 338 [Source:HGNC Symbol;Acc:33099],-0.646550394,0.003068919,0.099711595,-0.561220903,0.00171413,0.083710516,0.08532949,0.567688456,0.968973938
ENSG00000126767,ELK1,protein_coding,"ELK1, member of ETS oncogene family [Source:HGNC Symbol;Acc:3321]",0.462285828,0.003079146,0.099711595,0.319577423,0.011267754,0.207461037,-0.142708405,0.177283786,0.890415356
ENSG00000170515,PA2G4,protein_coding,"proliferation-associated 2G4, 38kDa [Source:HGNC Symbol;Acc:8550]",0.199201784,0.003096248,0.099711595,0.137973265,0.011045293,0.205526413,-0.061228518,0.180444954,0.891039084
ENSG00000196284,SUPT3H,protein_coding,suppressor of Ty 3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11466],-0.579509979,0.003100579,0.099711595,-0.168944289,0.263517324,0.685978597,0.41056569,0.003559542,0.369214181
ENSG00000070495,JMJD6,protein_coding,jumonji domain containing 6 [Source:HGNC Symbol;Acc:19355],0.536573024,0.003103898,0.099711595,0.240988793,0.096910112,0.490805268,-0.295584231,0.016094243,0.588155111
ENSG00000186446,ZNF501,protein_coding,zinc finger protein 501 [Source:HGNC Symbol;Acc:23717],-0.722854989,0.003118671,0.099711595,-0.371879349,0.060813053,0.41304046,0.350975641,0.030379826,0.702042654
ENSG00000154217,PITPNC1,protein_coding,"phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:21045]",-0.34203437,0.003121698,0.099711595,-0.385699143,0.000212692,0.028916682,-0.043664773,0.550237138,0.96818497
ENSG00000112576,CCND3,protein_coding,cyclin D3 [Source:HGNC Symbol;Acc:1585],0.502993575,0.003123145,0.099711595,0.363606135,0.007618423,0.168872974,-0.139387441,0.234348466,0.91126177
ENSG00000128482,RNF112,protein_coding,ring finger protein 112 [Source:HGNC Symbol;Acc:12968],1.145225223,0.003133188,0.099711595,1.062431497,0.001427081,0.076043824,-0.082793727,0.739256798,0.985569596
ENSG00000010219,DYRK4,protein_coding,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:3095],-0.364769101,0.003133416,0.099711595,-0.077096191,0.404953325,0.786634136,0.28767291,0.00188302,0.266525854
ENSG00000109099,PMP22,protein_coding,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:9118],-0.833865889,0.003148988,0.099853244,-0.174189041,0.414709591,0.793205149,0.659676848,0.001668373,0.252812944
ENSG00000171858,RPS21,protein_coding,ribosomal protein S21 [Source:HGNC Symbol;Acc:10409],-0.44732953,0.003152564,0.099853244,-0.411537106,0.001201924,0.069202316,0.035792424,0.723830908,0.984582953
ENSG00000078725,BRINP1,protein_coding,bone morphogenetic protein/retinoic acid inducible neural-specific 1 [Source:HGNC Symbol;Acc:2687],-0.908513731,0.003163423,0.099964164,-0.863050586,0.001480932,0.07709927,0.045463145,0.809381672,0.991082891
ENSG00000014216,CAPN1,protein_coding,"calpain 1, (mu/I) large subunit [Source:HGNC Symbol;Acc:1476]",0.54725511,0.003178652,0.100085542,0.238256283,0.100252268,0.495841378,-0.308998827,0.017426871,0.601128049
ENSG00000165458,INPPL1,protein_coding,inositol polyphosphate phosphatase-like 1 [Source:HGNC Symbol;Acc:6080],0.360560491,0.003185766,0.100085542,0.132613935,0.159104519,0.583459734,-0.227946557,0.009169741,0.505797385
ENSG00000173715,C11orf80,protein_coding,chromosome 11 open reading frame 80 [Source:HGNC Symbol;Acc:26197],-0.501800255,0.003189361,0.100085542,-0.366845284,0.010498399,0.199234971,0.134954971,0.211240758,0.905767708
ENSG00000188846,RPL14,protein_coding,ribosomal protein L14 [Source:HGNC Symbol;Acc:10305],-0.30090045,0.0032187,0.100611829,-0.285991807,0.000918891,0.062429433,0.014908644,0.826653541,0.99200772
ENSG00000101265,RASSF2,protein_coding,Ras association (RalGDS/AF-6) domain family member 2 [Source:HGNC Symbol;Acc:9883],-1.512122197,0.003222733,0.100611829,-1.246403105,0.004524967,0.1263993,0.265719092,0.410546928,0.940727092
ENSG00000248550,OTX2-AS1,antisense,OTX2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:43906],-2.392233463,0.003233641,0.100611829,-1.12534547,0.048217822,0.375366518,1.266887993,0.045867843,0.764726693
ENSG00000136710,CCDC115,protein_coding,coiled-coil domain containing 115 [Source:HGNC Symbol;Acc:28178],-0.264213857,0.003254975,0.100611829,-0.311055341,0.000121136,0.021007444,-0.046841483,0.418185586,0.943160948
ENSG00000221491,SNORA34,snoRNA,"small nucleolar RNA, H/ACA box 34 [Source:HGNC Symbol;Acc:32624]",-1.264696506,0.003267835,0.100611829,-0.671960392,0.045010021,0.363267067,0.592736114,0.049894043,0.774585705
ENSG00000152642,GPD1L,protein_coding,glycerol-3-phosphate dehydrogenase 1-like [Source:HGNC Symbol;Acc:28956],-0.562804536,0.00327694,0.100611829,-0.169990382,0.255418059,0.678783607,0.392814154,0.003718078,0.373543491
ENSG00000157916,RER1,protein_coding,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:30309],0.261630215,0.003277499,0.100611829,0.224057657,0.002332367,0.096036968,-0.037572557,0.530407305,0.966982737
ENSG00000057935,MTA3,protein_coding,"metastasis associated 1 family, member 3 [Source:HGNC Symbol;Acc:23784]",-0.312533762,0.003279482,0.100611829,-0.21877494,0.012210573,0.215197485,0.093758822,0.181971423,0.891487852
ENSG00000235436,DPY19L2P4,pseudogene,DPY19L2 pseudogene 4 [Source:HGNC Symbol;Acc:22176],0.891607353,0.003281777,0.100611829,0.415433721,0.095766882,0.488203679,-0.476173632,0.015313012,0.588155111
ENSG00000225968,ELFN1,protein_coding,extracellular leucine-rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:33154],-1.069955015,0.003286789,0.100611829,-1.014555497,0.001602866,0.081267712,0.055399518,0.803004908,0.989830841
ENSG00000183722,LHFP,protein_coding,lipoma HMGIC fusion partner [Source:HGNC Symbol;Acc:6586],-0.596327526,0.003287581,0.100611829,-0.565908994,0.001059319,0.06454719,0.030418532,0.819432074,0.991804263
ENSG00000162231,NXF1,protein_coding,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:8071],0.46249781,0.003313774,0.101101646,0.260350689,0.034189249,0.324415859,-0.202147121,0.067766793,0.794802813
ENSG00000188092,GPR89B,protein_coding,G protein-coupled receptor 89B [Source:HGNC Symbol;Acc:13840],0.585006952,0.003318467,0.101101646,0.343051443,0.0326697,0.319593873,-0.241955508,0.070998721,0.796478379
ENSG00000070961,ATP2B1,protein_coding,"ATPase, Ca++ transporting, plasma membrane 1 [Source:HGNC Symbol;Acc:814]",0.475701786,0.003329075,0.101197931,0.258292778,0.043842151,0.360247993,-0.217409008,0.051955539,0.788247342
ENSG00000103363,TCEB2,protein_coding,"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) [Source:HGNC Symbol;Acc:11619]",0.488877412,0.003343116,0.101397904,0.292224263,0.027746341,0.300172992,-0.196653149,0.084829823,0.809749324
ENSG00000087266,SH3BP2,protein_coding,SH3-domain binding protein 2 [Source:HGNC Symbol;Acc:10825],0.451600624,0.003368678,0.101945637,0.21596686,0.076970589,0.452065538,-0.235633764,0.026007756,0.67960266
ENSG00000141682,PMAIP1,protein_coding,phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:9108],1.498485436,0.003388921,0.102285595,0.674650935,0.05137663,0.385268018,-0.823834501,0.044543688,0.757863229
ENSG00000247708,STX18-AS1,antisense,STX18 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:48877],-0.652276378,0.003394966,0.102285595,-0.290154515,0.099328616,0.494756278,0.362121863,0.018449013,0.619992897
ENSG00000112305,SMAP1,protein_coding,small ArfGAP 1 [Source:HGNC Symbol;Acc:19651],-0.260075834,0.003405885,0.102387526,-0.18903285,0.009269784,0.185232092,0.071042984,0.231342464,0.91126177
ENSG00000141560,FN3KRP,protein_coding,fructosamine 3 kinase related protein [Source:HGNC Symbol;Acc:25700],-0.358131647,0.003420042,0.102420966,-0.210079878,0.033444893,0.321985077,0.148051769,0.07155314,0.796478379
ENSG00000230316,FEZF1-AS1,antisense,FEZF1 antisense RNA 1 [Source:HGNC Symbol;Acc:41001],1.908672561,0.003422072,0.102420966,1.825192539,0.000780492,0.058592935,-0.083480022,0.851346338,0.993001598
ENSG00000246705,H2AFJ,protein_coding,"H2A histone family, member J [Source:HGNC Symbol;Acc:14456]",1.509275154,0.003440257,0.102738939,0.719376073,0.068961094,0.433261398,-0.789899081,0.032987329,0.709840844
ENSG00000152578,GRIA4,protein_coding,"glutamate receptor, ionotropic, AMPA 4 [Source:HGNC Symbol;Acc:4574]",-0.664191612,0.003509428,0.104210551,-0.791395442,0.000203093,0.028449701,-0.12720383,0.344840504,0.922743751
ENSG00000028116,VRK2,protein_coding,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],-1.416249812,0.003529796,0.104210551,-0.925052997,0.01657439,0.24391322,0.491196815,0.143061781,0.868064047
ENSG00000115211,EIF2B4,protein_coding,"eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa [Source:HGNC Symbol;Acc:3260]",0.276639859,0.00353056,0.104210551,0.170798631,0.021375679,0.270653681,-0.105841228,0.112666134,0.839313285
ENSG00000176490,DIRAS1,protein_coding,"DIRAS family, GTP-binding RAS-like 1 [Source:HGNC Symbol;Acc:19127]",0.445350962,0.003532543,0.104210551,0.376421068,0.003798382,0.118465381,-0.068929894,0.479466108,0.959069158
ENSG00000174473,GALNTL6,protein_coding,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6 [Source:HGNC Symbol;Acc:33844],-1.105488704,0.003541515,0.104210551,-1.069300504,0.002896347,0.105610365,0.036188201,0.845499195,0.992461309
ENSG00000048991,R3HDM1,protein_coding,R3H domain containing 1 [Source:HGNC Symbol;Acc:9757],-0.466828459,0.003543175,0.104210551,-0.247988694,0.052650585,0.390611213,0.218839765,0.044494762,0.757863229
ENSG00000253716,RP13-582O9.5,antisense,,0.777436916,0.00354322,0.104210551,0.470321231,0.023894526,0.281674005,-0.307115684,0.102226942,0.829110495
ENSG00000169760,NLGN1,protein_coding,neuroligin 1 [Source:HGNC Symbol;Acc:14291],0.368314955,0.003599306,0.10563148,0.299580053,0.004168768,0.123141782,-0.068734902,0.416466442,0.942686326
ENSG00000123360,PDE1B,protein_coding,"phosphodiesterase 1B, calmodulin-dependent [Source:HGNC Symbol;Acc:8775]",-1.181253441,0.003655822,0.106985494,-1.049582039,0.004530207,0.1263993,0.131671402,0.555775362,0.968533684
ENSG00000137285,TUBB2B,protein_coding,"tubulin, beta 2B class IIb [Source:HGNC Symbol;Acc:30829]",-0.532596887,0.00366119,0.106985494,-0.452785129,0.002760656,0.104781556,0.079811758,0.519181096,0.966104446
ENSG00000117450,PRDX1,protein_coding,peroxiredoxin 1 [Source:HGNC Symbol;Acc:9352],0.349956209,0.00368932,0.107576123,0.206570967,0.0306537,0.310837665,-0.143385243,0.085105161,0.809749324
ENSG00000183067,IGSF5,protein_coding,"immunoglobulin superfamily, member 5 [Source:HGNC Symbol;Acc:5952]",-0.766191739,0.003699865,0.107652614,-0.373048875,0.07099847,0.43562619,0.393142865,0.033554614,0.709840844
ENSG00000119698,PPP4R4,protein_coding,"protein phosphatase 4, regulatory subunit 4 [Source:HGNC Symbol;Acc:23788]",-1.118701161,0.003711465,0.10775937,-0.75011613,0.019894755,0.262579336,0.368585031,0.135256965,0.864864908
ENSG00000114279,FGF12,protein_coding,fibroblast growth factor 12 [Source:HGNC Symbol;Acc:3668],-0.792219881,0.003719636,0.107766354,-0.284128771,0.193952265,0.620099618,0.50809111,0.006302192,0.436097733
ENSG00000166949,SMAD3,protein_coding,SMAD family member 3 [Source:HGNC Symbol;Acc:6769],-0.402941701,0.003753974,0.108481522,-0.336056978,0.002943331,0.106084836,0.066884723,0.485090033,0.960529839
ENSG00000112218,GPR63,protein_coding,G protein-coupled receptor 63 [Source:HGNC Symbol;Acc:13302],-0.633122299,0.003760288,0.108481522,-0.404588239,0.018088111,0.251608123,0.22853406,0.137867476,0.867049109
ENSG00000138735,PDE5A,protein_coding,"phosphodiesterase 5A, cGMP-specific [Source:HGNC Symbol;Acc:8784]",-0.902457982,0.003768557,0.108489732,-0.821454728,0.001716526,0.083710516,0.081003255,0.695925118,0.984582953
ENSG00000260025,RP11-490M8.1,lincRNA,,-0.852928873,0.003784568,0.108720328,-0.645970181,0.008734234,0.178739143,0.206958692,0.278782122,0.916507195
ENSG00000068976,PYGM,protein_coding,"phosphorylase, glycogen, muscle [Source:HGNC Symbol;Acc:9726]",-1.936042087,0.003800889,0.108958815,-0.40177593,0.381873068,0.773798812,1.534266157,0.004649703,0.410143033
ENSG00000126500,FLRT1,protein_coding,fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:3760],0.793836021,0.003835398,0.109716604,0.884205032,0.000277287,0.034262961,0.090369011,0.611788017,0.973790124
ENSG00000164330,EBF1,protein_coding,early B-cell factor 1 [Source:HGNC Symbol;Acc:3126],-1.002082261,0.003843961,0.109730556,-0.983093768,0.001479155,0.07709927,0.018988494,0.927818434,0.99744829
ENSG00000240891,PLCXD2,protein_coding,"phosphatidylinositol-specific phospholipase C, X domain containing 2 [Source:HGNC Symbol;Acc:26462]",-0.714210749,0.003860314,0.109966341,-0.714826946,0.0017321,0.084056337,-0.000616198,0.996410531,0.999365754
ENSG00000158717,RNF166,protein_coding,ring finger protein 166 [Source:HGNC Symbol;Acc:28856],0.4685411,0.003908471,0.111045963,0.248610066,0.050720857,0.382995438,-0.219931034,0.053356465,0.788247342
ENSG00000139514,SLC7A1,protein_coding,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 [Source:HGNC Symbol;Acc:11057]",0.546215109,0.003922637,0.111045963,0.464830072,0.003162456,0.110106345,-0.081385038,0.520196242,0.966104446
ENSG00000170161,RP11-262H14.4,lincRNA,,1.334415486,0.00392273,0.111045963,0.233138518,0.50845949,0.840197927,-1.101276968,0.001356157,0.234289207
ENSG00000110700,RPS13,protein_coding,ribosomal protein S13 [Source:HGNC Symbol;Acc:10386],-0.30630675,0.003951575,0.111629938,-0.29344734,0.001087823,0.065988092,0.01285941,0.856484751,0.99391528
ENSG00000261740,RP11-345J4.5,protein_coding,BolA-like protein 2  [Source:UniProtKB/TrEMBL;Acc:H3BV85],0.702326413,0.003967942,0.111739015,0.330318981,0.079322224,0.456321075,-0.372007432,0.032608566,0.709840844
ENSG00000110013,SIAE,protein_coding,sialic acid acetylesterase [Source:HGNC Symbol;Acc:18187],-0.51073869,0.003971883,0.111739015,-0.374819087,0.008955115,0.182431933,0.135919603,0.261666128,0.915621622
ENSG00000107736,CDH23,protein_coding,cadherin-related 23 [Source:HGNC Symbol;Acc:13733],-0.920913543,0.003986302,0.111912963,-0.540634841,0.039659441,0.345222602,0.380278702,0.06951749,0.796478379
ENSG00000139505,MTMR6,protein_coding,myotubularin related protein 6 [Source:HGNC Symbol;Acc:7453],0.36896527,0.004010862,0.112370282,0.302608485,0.004505426,0.1263993,-0.066356786,0.436582637,0.94901816
ENSG00000251634,RP11-1280N14.3,pseudogene,,1.640235003,0.004028496,0.112497699,0.166423584,0.713923154,0.924677135,-1.473811419,0.000288925,0.07948373
